trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,d_opt,0,0.5,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,0,0,shared_parameter_set,0,-0.955151557273506,0.955151557273506,1.910303114547012,1,0,0,0
0,d_opt,0,0.5,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,0,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.2,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.2,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.1,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.1,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.05,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.05,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.01,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,0,0.01,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,d_opt,2,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,0,0,shared_parameter_set,0,0.21554174314531344,0.568764749899956,0.3532230067546425,1,1,0,0
0,d_opt,2,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,0,0,scalar_wald,0,0.2909797839932224,0.49332670905204695,0.20234692505882457,0,1,0,0
0,d_opt,2,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,shared_parameter_set,0,0.12303485982351936,0.66127163322175,0.5382367733982306,1,1,0,0
0,d_opt,2,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,scalar_wald,0,0.1999205116909445,0.5843859813543248,0.38446546966338035,1,1,0,0
0,d_opt,2,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,shared_parameter_set,0,0.07025834257923258,0.7140481504660368,0.6437898078868042,1,1,0,0
